,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,query,winner
20,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Hillary Clinton,
21,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,college football playoff,
22,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,abortion,
23,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,illegal immigration,
24,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,McDonald's,
25,0.167,*results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.08333333333333333,0.167,0.0,inf,,20,low-income,high-income,0.014956363910414203,Domino's Pizza,low-income
26,0.3,**results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.18333333333333332,0.333,0.033,10.0,,20,low-income,high-income,8.538051223166254e-06,Honda,low-income
27,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Amazon,
28,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,ryan shazier,
29,,results_and_knowledge_panel_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,medical marijuana,
30,0.267,**results_and_knowledge_panel_top_three_domain_frac_facebook.com,10,10,0.13333333333333333,0.267,0.0,inf,,20,low-income,high-income,0.00020249932206764005,Bank of America,low-income
31,0.033,results_and_knowledge_panel_top_three_domain_frac_facebook.com,10,10,0.016666666666666666,0.033,0.0,inf,,20,low-income,high-income,0.34343639613791355,Domino's Pizza,low-income
32,,results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Donald Trump,
33,0.267,**results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.2,0.067,0.333,5.0,,20,low-income,high-income,0.00020249932206764027,Pizza Hut,high-income
34,0.3,**results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.18333333333333335,0.033,0.333,10.0,,20,low-income,high-income,8.538051223166254e-06,Toyota,high-income
35,0.167,*results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.18333333333333335,0.267,0.1,2.67,,20,low-income,high-income,0.024143272996065522,Walmart,low-income
36,0.167,*results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.24999999999999994,0.167,0.333,2.0,,20,low-income,high-income,0.014956363910414187,Domino's Pizza,high-income
37,0.267,**results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.16666666666666669,0.033,0.3,9.0,,20,low-income,high-income,2.292887199439995e-05,Honda,high-income
38,,results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Amazon,
39,0.067,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.29999999999999993,0.267,0.333,1.25,,20,low-income,high-income,0.16785065605707492,Wells Fargo,high-income
40,,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.2,0.2,0.2,,1.0,20,low-income,high-income,,Chase Bank,
41,0.3,**results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.18333333333333335,0.033,0.333,10.0,,20,low-income,high-income,8.538051223166254e-06,Bank of America,high-income
42,0.067,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.29999999999999993,0.267,0.333,1.25,,20,low-income,high-income,0.16785065605707492,Pizza Hut,high-income
43,0.233,**results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.15,0.033,0.267,8.0,,20,low-income,high-income,0.0006237457011994715,Target Corporation,high-income
44,0.133,*results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.2666666666666666,0.333,0.2,1.67,,20,low-income,high-income,0.03678749787978607,Toyota,low-income
45,0.067,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.13333333333333336,0.1,0.167,1.67,,20,low-income,high-income,0.38809613338586946,United States Department of Veterans Affairs,high-income
46,,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.2666666666666666,0.267,0.267,,1.0,20,low-income,high-income,,Chevrolet,
47,0.033,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.28333333333333327,0.267,0.3,1.12,,20,low-income,high-income,0.5565650165675339,Walmart,high-income
48,0.167,*results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.08333333333333333,0.0,0.167,inf,,20,low-income,high-income,0.014956363910414203,abortion,high-income
49,0.033,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.28333333333333327,0.267,0.3,1.12,,20,low-income,high-income,0.5565650165675339,McDonald's,high-income
50,0.067,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.2666666666666666,0.3,0.233,1.29,,20,low-income,high-income,0.2900334160014484,Domino's Pizza,low-income
51,,results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.29999999999999993,0.3,0.3,,1.0,20,low-income,high-income,,Honda,
52,0.233,*results_and_knowledge_panel_top_three_domain_frac_MapsLocations,10,10,0.11666666666666665,0.0,0.233,inf,,20,low-income,high-income,0.0013229505842674947,medical marijuana,high-income
