Sample produced on 2018-01-15 17:28:43.630909,,,,,,,,,,,,,,,,,,,,
Samples come from the following dbs: ['dbs\\urban-rural_10_all.db', 'dbs\\urban-rural_10_extra.db'],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
link,snippet,bio,location,verified,follower_count,Shows Creative Effort (t),No Creative Effort (f),Created outside professional practice (t),Not created outside professional practice (f),,individual (i),organization (o),bot (b),,nonprofit (n),celebrity (c),corporate ($),journalistic (j),political (p),other (z)
https://www.youtube.com/channel/UCHxcqJWQQcoVmVh5eHVqVxg,"We know you came for the Gecko, but we're sure you'll stay for everything else. Welcome to GEICO's official YouTube Channel presenting all of our latest comm...",,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=e9MfWH9mwhk,"This is a video of me removing a salivary gland stone, or a sialolith, from my submandibular salivary gland ...",,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=64JQMlDzQx0,"Facts about who, why and when women get abortions Credits: https://www.buzzfeed.com/bfmp/videos/17704 ...",,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=lRDnVSMr5j0,"Former abortionist, Dr. Anthony Levatino, explains the abortion pill", a non-surgical medical abortion ...,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=vWKqeJxzeBc,"Regardless of politics, what ACTUALLY happens? Video on Plan B: https://youtu.be/7Vozr9vHeMo Subscribe ...",,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=fvyTYU8dMAs,Are you trying to lose weight? There are many things that help weight loss besides a fad diet and exercising ...,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=aPX1J9HmfeM,A 17-year-old has become the first minor to die by euthanasia in Belgium. It is the first application of rules ...,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=TR3LpriSmxM,"In this Season 1 episode (The Feudin' Pyles), Sgt. Carter (Frank Sutton)does his best to teach the art of ...",,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=dwgGtH7oPhQ,"Sialolithiasis (also termed salivary calculi, or salivary stones), is a condition where a calcified mass or sialolith ...",,,,,,,,,,,,,,,,,,,
https://www.instagram.com/barackobama/?hl=en,"16.1m Followers, 14 Following, 238 Posts - See Instagram photos and videos from Barack Obama (@barackobama)",,,,,,,,,,,,,,,,,,,
https://www.linkedin.com/in/michael-flynn-01790712,"View Michael Flynn's profile on LinkedIn, the world's largest professional community. Michael has 3 jobs listed on their profile. See the complete profile on LinkedIn and discover Michael's connections and jobs at similar companies.",,,,,,,,,,,,,,,,,,,
https://www.linkedin.com/in/mike-flynn-49500b9,"View Mike Flynn's profile on LinkedIn, the world's largest professional community. Mike has 1 job listed on their profile. See the complete profile on LinkedIn and discover Mike's connections and jobs at similar companies.",,,,,,,,,,,,,,,,,,,
https://www.linkedin.com/company/bank-of-america,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. ...",,,,,,,,,,,,,,,,,,,
https://www.linkedin.com/company/department-of-veterans-affairs,"The U.S. Department of Veterans Affairs (VA) was established on March 15, 1989, succeeding the Veterans Administration. It is responsible for providing federal benefits to veterans and their families. Headed by the Secretary of Veterans Affairs, VA is the second-largest of the Cabinet departments and operates nationwide ...",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/search?cflt=paydayloans&find_loc=Pleasanton%2C+CA,"Best Check Cashing/Pay-day Loans in Pleasanton, CA - California Check Cashing Stores, California Check Cashing Stores, Check Into Cash, Cash Now Fremont, Check Center, California Check Cashing Stores, Frontera Cash and Loan, Check Center,…",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/pizza-hut-fort-worth-3,"10 reviews of Pizza Hut Meh. This is the closest pizza hut to my boyfriends house so we usually order for pick up here. The ordering process is simple since we do it online but the quality is typically inconsistent. Like when we order spinach…""",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/geico-pleasant-hill-2,99 reviews of GEICO I switched to Geico 3 or 4 years ago from my stone age insurance company. Geico insured my cars for about half of the old school insurance - and using Geico is soooo easy! Online payments charge my credit card," email me the…""",,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/rhonda-evans-geico-insurance-birmingham,"2 reviews of GEICO Insurance Agent My experience with this office was great! They were very nice and helped me get a quote lower than any place I tried. I love love love Geico! I've tried others before but there is no comparison when it comes…""",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/mcdonalds-russell,"6 reviews of McDonald's Clean restaurant with fast and friendly service. I stopped by this McDonald's to grab breakfast while I was on the road traveling and was able to get my food quickly and served to me with a smile. I love the tv monitor…""",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/mcdonalds-atlanta-57,23 reviews of McDonald's Very efficient and friendly staff. It's a very busy location but they manage it well. Food is hot and made properly - it's the same menu as all McDonald's. Same prices as well," despite being in downtown. In found it clean…""",,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/target-corporate-office-495-atlanta,"Target Corporate Office 495 in Atlanta, reviews by real people. Yelp is a fun and easy way to find, recommend and talk about what's great and not so great in Atlanta and beyond.",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/pizza-hut-atlanta-10,"36 reviews of Pizza Hut This place is so frustrating. As you can see from the multiple 1 star reviews.. there are better places to get pizza. Management clearly does not care. The pizza is good but the service is awful. Always mess ups. Always…""",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/biz/pizza-hut-lees-summit-7,"5 reviews of Pizza Hut Pizza and cheesy bread sticks were great. Busy with carry out and delivery. No one else ate in. Decor is old. Ok service but no menus or wait staff like at other Pizza Huts. Just the one guy at the counter and a menu…""",,,,,,,,,,,,,,,,,,,
https://www.yelp.com/search?cflt=paydayloans&find_loc=Louisville%2C+KY,"Louisville, KY 40211 Phone number (502) 775-5599. ... Check Cashing/Pay-day Loans, Tax Services, Auto Insurance. ... Tax Services, Auto Loan Providers, Check Cashing/Pay-day Loans.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g39037-d4478165-Reviews-Pizza_Hut-Russell_Kansas.html,"Pizza Hut, Russell: See 9 unbiased reviews of Pizza Hut, rated 4 of 5 on TripAdvisor and ranked #8 of 19 restaurants in Russell.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g37831-d4960802-Reviews-McDonald_s-Denison_Iowa.html,"McDonald's, Denison: See 7 unbiased reviews of McDonald's, rated 3 of 5 on TripAdvisor and ranked #13 of 25 restaurants in Denison.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/ShowUserReviews-g58748-d4520061-r169730333-Domino_s_Pizza-Snoqualmie_Washington.html,"Domino's Pizza: Domninos in Snoqualmie Ridge - See 5 traveler reviews, candid photos, and great deals for Snoqualmie, WA, at TripAdvisor.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g50226-d4252896-Reviews-McDonald_s-Columbus_Ohio.html,"McDonald's, Columbus: See 15 unbiased reviews of McDonald's, rated 2.5 of 5 on TripAdvisor and ranked #1586 of 2292 restaurants in Columbus.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Attraction_Review-g34515-d2196464-Reviews-World_s_Largest_Entertainment_McDonald_s_PlayPlace-Orlando_Florida.html,"World's Largest Entertainment McDonald's & PlayPlace, Orlando: Address, Phone Number, Playground Reviews. ... 6875 W Sand Lake Rd, Orlando, FL 32819-9349. ... Let the kids run off some of that energy in the World's Largest PlayPlace which is Kid's Club Tree House themed and features a ...",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g50226-d4730689-Reviews-Pizza_Hut-Columbus_Ohio.html,"Pizza Hut, Columbus: See 2 unbiased reviews of Pizza Hut, rated 4 of 5 on TripAdvisor and ranked #1120 of 2292 restaurants in Columbus.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g34515-d1382174-Reviews-Pizza_Hut-Orlando_Florida.html,"9100 International Dr, Orlando, FL 32819-8112. ... Can I place an delivery to the my hotel the Rosen inn at pointe Orlando ? ... Hi , just wondering if the pizza hut at 9100 international drive still does buffets ?",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g33970-d4159470-Reviews-Pizza_Hut-West_Hartford_Connecticut.html,"Jul 5, 2013 - Pizza Hut, West Hartford: See 2 unbiased reviews of Pizza Hut, rated 3 of 5 on TripAdvisor and ranked #147 of 183 restaurants in West Hartford.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/ShowUserReviews-g39054-d1169919-r448053061-Pizza_Hut-Sedan_Kansas.html,"Dec 31, 2016 - Pizza Hut: Nothing bad nothing great - See traveler reviews, candid photos, and great deals for Sedan, KS, at TripAdvisor.",,,,,,,,,,,,,,,,,,,
https://www.tripadvisor.com/Restaurant_Review-g34515-d4365763-Reviews-Pizza_Hut-Orlando_Florida.html,"7060 International Dr, Orlando, FL 32819-8222. ... “Typical US Pizza Hut”. ... Get quick answers from Pizza Hut staff and past visitors.",,,,,,,,,,,,,,,,,,,
https://twitter.com/Honda/status/948324343263604736?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"We’ve raised $25,000 for kids in need! Thanks, everyone, for donating the 🌹 and helping give kids everywhere the chance to pursue their dreams this New Year’s. pic.twitter.com/XTKgJuD…2 days ago · Twitter","Official news & information from Honda's Social team at American Honda HQ in Torrance, Calif. For Customer Service ?'s tweet @HondaCustSvc","Torrance, CA",TRUE,897151,,,,,,,,,,,,,,,
https://twitter.com/Progressive/status/949744873799856128?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,This mastermind group is coming together to change the future of insurance. Watch our new spot and see great minds at work! pgrs.in/2CXobs25 days ago · Twitter,"More than 18 million people choose Progressive Insurance to insure their vehicles, making us one of America’s largest auto insurance groups","Mayfield Village, OH",TRUE,56682,,,,,,,,,,,,,,,
https://twitter.com/Toyota/status/946470851544797187?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,Is your lease coming to an end? We want to help. Learn more here: toyota.us/2C5p9oT pic.twitter.com/3tDRb95…7 days ago · Twitter,Official tweets from Toyota #LetsGoPlaces,"Plano, TX",TRUE,697197,,,,,,,,,,,,,,,
https://twitter.com/Quicken/status/951537616310083584?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"If you’re heading on a #vacation soon, reference these #money #saving #travel #tips before you go @travelchannel www.travelchannel.com/i…11 hours ago · Twitter",Know where you stand! Quicken budgeting software lets you easily see what you’re spending & where you can save.,California,FALSE,4641,,,,,,,,,,,,,,,
https://twitter.com/realDonaldTrump/status/948739073237311488?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,MAKE AMERICA GREAT AGAIN!14 hours ago · Twitter,45th President of the United States of America🇺🇸,"Washington, DC",TRUE,46702545,,,,,,,,,,,,,,,
https://twitter.com/chevrolet/status/944601513535696897?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"A sleigh ride the whole family will look forward to. Track our jolly old friend this Christmas Eve with your blue @OnStar button. s.chevy.com/npc6v pic.twitter.com/orv18ez…Dec 23, 2017 · Twitter",Talking Chevrolet one tweet at a time. #FindNewRoads Privacy Statement - https://t.co/Yy47LSihW6,"Detroit, MI",TRUE,987687,,,,,,,,,,,,,,,
https://twitter.com/QuickenLoans/status/951559340988751873?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,Is your kitchen countertop looking too bare? Our friends at @HGTV have 11 essentials to help you add some flair to your space!   spr.ly/6016DKEP88 hours ago · Twitter,Your money is worth saving! Let us help! https://t.co/iInV5iai89 | Call today! 888-728-4702 │Quicken Loans NMLS #3030. | NMLS Access: https://t.co/3LYoAYMkMh,"Detroit, MI",TRUE,41625,,,,,,,,,,,,,,,
https://twitter.com/Progressive/status/949306672736071681?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"Choosing a primer that’s designed for porous surfaces, like brick and stone, is an important step in painting around your fireplace. Brush up your knowledge with the experts at @MyFixItUpLife. pgrs.in/2CHAT146 days ago · Twitter","More than 18 million people choose Progressive Insurance to insure their vehicles, making us one of America’s largest auto insurance groups","Mayfield Village, OH",TRUE,56682,,,,,,,,,,,,,,,
https://twitter.com/Honda/status/947928855909515264?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,Today we celebrated 58 years of bringing entertainment and tradition to people around the world. pic.twitter.com/ftqmFSx…3 days ago · Twitter,"Official news & information from Honda's Social team at American Honda HQ in Torrance, Calif. For Customer Service ?'s tweet @HondaCustSvc","Torrance, CA",TRUE,897151,,,,,,,,,,,,,,,
https://twitter.com/pizzahut/status/947920361663946757?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,"🍕, couch and 🏈 all day long. pic.twitter.com/EYIpW5H…3 days ago · Twitter",The official Twitter handle of Pizza Hut US. Proud Partner of the NCAA®.,United States,TRUE,1593798,,,,,,,,,,,,,,,
